HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
Sampdoria,Parma,2,0,H,0,0
Spal,Chievo,0,0,D,0,0
Atalanta,Lazio,1,0,H,1,0
Bologna,Milan,0,0,D,0,0
Chievo,Inter,1,1,D,0,1
Empoli,Sampdoria,2,4,A,1,1
Genoa,Atalanta,3,1,H,1,0
Juventus,Roma,1,0,H,1,0
Lazio,Cagliari,3,1,H,2,0
Milan,Fiorentina,0,1,A,0,0
Napoli,Spal,1,0,H,1,0
Parma,Bologna,0,0,D,0,0
Sassuolo,Torino,1,1,D,0,0
Udinese,Frosinone,1,1,D,1,0
Atalanta,Juventus,2,2,D,1,1
Bologna,Lazio,0,2,A,0,1
Cagliari,Genoa,1,0,H,1,0
Fiorentina,Parma,0,1,A,0,1
Frosinone,Milan,0,0,D,0,0
Inter,Napoli,1,0,H,0,0
Roma,Sassuolo,3,1,H,2,0
Sampdoria,Chievo,2,0,H,0,0
Spal,Udinese,0,0,D,0,0
Torino,Empoli,3,0,H,1,0
Chievo,Frosinone,1,0,H,0,0
Empoli,Inter,0,1,A,0,0
Genoa,Fiorentina,0,0,D,0,0
Juventus,Sampdoria,2,1,H,1,1
Lazio,Torino,1,1,D,0,1
Milan,Spal,2,1,H,1,1
Napoli,Bologna,3,2,H,1,1
Parma,Roma,0,2,A,0,0
Sassuolo,Atalanta,2,6,A,0,2
Udinese,Cagliari,2,0,H,1,0
Inter,Sassuolo,0,0,D,0,0
Roma,Torino,3,2,H,2,0
Udinese,Parma,1,2,A,0,1
Cagliari,Empoli,2,2,D,1,0
Fiorentina,Sampdoria,3,3,D,1,1
Frosinone,Atalanta,0,5,A,0,2
Napoli,Lazio,2,1,H,2,0
Spal,Bologna,1,1,D,0,1
Genoa,Milan,0,2,A,0,0
Juventus,Chievo,3,0,H,2,0
Milan,Napoli,0,0,D,0,0
Sampdoria,Udinese,4,0,H,1,0
Sassuolo,Cagliari,3,0,H,2,0
Atalanta,Roma,3,3,D,1,3
Bologna,Frosinone,0,4,A,0,2
Chievo,Fiorentina,3,4,A,1,2
Lazio,Juventus,1,2,A,0,0
Parma,Spal,2,3,A,1,0
Torino,Inter,1,0,H,1,0
Empoli,Genoa,1,3,A,0,1
Empoli,Chievo,2,2,D,1,2
Juventus,Parma,3,3,D,1,0
Napoli,Sampdoria,3,0,H,2,0
Genoa,Sassuolo,1,1,D,1,1
Inter,Bologna,0,1,A,0,1
Roma,Milan,1,1,D,0,1
Spal,Torino,0,0,D,0,0
Udinese,Fiorentina,1,1,D,0,0
Cagliari,Atalanta,0,1,A,0,0
Frosinone,Lazio,0,1,A,0,1
Lazio,Empoli,1,0,H,1,0
Chievo,Roma,0,3,A,0,2
Fiorentina,Napoli,0,0,D,0,0
Parma,Inter,0,1,A,0,0
Atalanta,Spal,2,1,H,0,1
Bologna,Genoa,1,1,D,1,1
Milan,Cagliari,3,0,H,2,0
Sampdoria,Frosinone,0,1,A,0,1
Sassuolo,Juventus,0,3,A,0,1
Torino,Udinese,1,0,H,1,0
Juventus,Frosinone,3,0,H,2,0
Atalanta,Milan,1,3,A,1,1
Cagliari,Parma,2,1,H,0,1
Empoli,Sassuolo,3,0,H,2,0
Genoa,Lazio,2,1,H,0,1
Inter,Sampdoria,2,1,H,0,0
Napoli,Torino,0,0,D,0,0
Spal,Fiorentina,1,4,A,1,1
Udinese,Chievo,1,0,H,0,0
Roma,Bologna,2,1,H,0,0
Milan,Empoli,3,0,H,0,0
Frosinone,Roma,2,3,A,1,2
Torino,Atalanta,2,0,H,1,0
Bologna,Juventus,0,1,A,0,0
Chievo,Genoa,0,0,D,0,0
Fiorentina,Inter,3,3,D,1,2
Parma,Napoli,0,4,A,0,2
Sampdoria,Cagliari,1,0,H,0,0
Sassuolo,Spal,1,1,D,1,0
Cagliari,Inter,2,1,H,2,1
Empoli,Parma,3,3,D,1,2
Lazio,Roma,3,0,H,1,0
Milan,Sassuolo,1,0,H,1,0
Atalanta,Fiorentina,3,1,H,2,1
Genoa,Frosinone,0,0,D,0,0
Napoli,Juventus,1,2,A,0,2
Spal,Sampdoria,1,2,A,0,2
Torino,Chievo,3,0,H,0,0
Udinese,Bologna,2,1,H,1,1
Juventus,Udinese,4,1,H,2,0
Chievo,Milan,1,2,A,1,1
Parma,Genoa,1,0,H,0,0
Bologna,Cagliari,2,0,H,1,0
Fiorentina,Lazio,1,1,D,0,1
Frosinone,Torino,1,2,A,1,0
Inter,Spal,2,0,H,0,0
Sampdoria,Atalanta,1,2,A,0,0
Sassuolo,Napoli,1,1,D,0,0
Roma,Empoli,2,1,H,2,1
Cagliari,Fiorentina,2,1,H,0,0
Sassuolo,Sampdoria,3,5,A,1,3
Spal,Roma,2,1,H,1,0
Torino,Bologna,2,3,A,1,2
Atalanta,Chievo,1,1,D,0,1
Empoli,Frosinone,2,1,H,2,0
Genoa,Juventus,2,0,H,0,0
Lazio,Parma,4,1,H,4,0
Milan,Inter,2,3,A,0,1
Napoli,Udinese,4,2,H,2,2
Chievo,Cagliari,0,3,A,0,3
Juventus,Empoli,1,0,H,0,0
Sampdoria,Milan,1,0,H,1,0
Udinese,Genoa,2,0,H,1,0
Bologna,Sassuolo,2,1,H,0,0
Fiorentina,Torino,1,1,D,1,1
Frosinone,Spal,0,1,A,0,1
Inter,Lazio,0,1,A,0,1
Parma,Atalanta,1,3,A,1,1
Roma,Napoli,1,4,A,1,1
Cagliari,Juventus,0,2,A,0,1
Milan,Udinese,1,1,D,1,0
